S;BKE022508SES00000004;BKE022508INV00000008;124000;BKE02;0;0;2;26CL30X30X15T2GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;125000;BKE02;0;0;2;26CL30X30X15T3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;126000;BKE02;0;0;2;26CL58X30X16NZIGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;127000;BKE02;0;0;2;26LZ15X15X15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;128000;BKE02;0;0;2;26LZ15X15X15GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;129000;BKE02;0;0;2;26LZ15X20X50GAM;;A;UN;265;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;130000;BKE02;0;0;2;26LZ20X20X20GAM;;A;UN;216;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;131000;BKE02;0;0;2;26LZ20X20X25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;132000;BKE02;0;0;2;26LZ20X20X40GAM;;A;UN;471;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;133000;BKE02;0;0;2;26LZ20X20X50GAM;;A;UN;435;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;134000;BKE02;0;0;2;26LZ25X25X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;135000;BKE02;0;0;2;26LZ25X25X25GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;136000;BKE02;0;0;2;26SO15X20X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;137000;BKE02;0;0;2;26SO15X20X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;138000;BKE02;0;0;2;26SO20X20X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;139000;BKE02;0;0;2;26SO20X20X40GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;140000;BKE02;0;0;2;27BO20X20X15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;141000;BKE02;0;0;2;27BO20X20X15GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;142000;BKE02;0;0;2;27BO20X20X20GAM;;A;UN;197,64742;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;143000;BKE02;0;0;2;27BO20X20X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;144000;BKE02;0;0;2;27BO24X24X20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;145000;BKE02;0;0;2;27BO24X24X20GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;146000;BKE02;0;0;2;27BO40X20X15GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;147000;BKE02;0;0;2;27BO40X20X15GDRGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;148000;BKE02;0;0;2;28ES1R100GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;149000;BKE02;0;0;2;28ES1R110GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;150000;BKE02;0;0;2;28ESC1GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;151000;BKE02;0;0;2;28ESC1R090GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;152000;BKE02;0;0;2;28ESC1R095GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;153000;BKE02;0;0;2;28ESC2GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;154000;BKE02;0;0;2;28ESC3GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;155000;BKE02;0;0;2;28ESC3R095GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;156000;BKE02;0;0;2;28ESC4GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;157000;BKE02;0;0;2;28ESC4R140GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;158000;BKE02;0;0;2;28ESC4R140H20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;159000;BKE02;0;0;2;28ESC4R150GAM;;A;UN;13111,875;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;160000;BKE02;0;0;2;28ESC4R150H20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;161000;BKE02;0;0;2;28ESC5GAM;;A;ML;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;162000;BKE02;0;0;2;28ESC5R0_90H21VAGGAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;163000;BKE02;0;0;2;28ESC5R110GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;164000;BKE02;0;0;2;28ESC5R120GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;165000;BKE02;0;0;2;28ESC5R125GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;166000;BKE02;0;0;2;28ESC5R130GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;167000;BKE02;0;0;2;28ESC5R140GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;168000;BKE02;0;0;2;28ESC5R140H20GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;169000;BKE02;0;0;2;28ESC5R150GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;170000;BKE02;0;0;2;28ESC5R150H20_5GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;171000;BKE02;0;0;2;28ESC5R150H21GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;172000;BKE02;0;0;2;28ESC5R150H22GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;173000;BKE02;0;0;2;28ESC5R160GAM;;A;UN;0;BKE2;
S;BKE022508SES00000004;BKE022508INV00000008;174000;BKE02;0;0;2;28ESC5R1_40H20VADGAM;;A;UN;0;BKE2;
